T,i1,f1,i2,f2,k_VV
300.0,1,0,0,1,5.957940681555779e-15
634.4827586206897,1,0,0,1,1.8299575506624026e-14
968.9655172413793,1,0,0,1,3.448826164929699e-14
1303.4482758620688,1,0,0,1,5.373380893808498e-14
1637.9310344827586,1,0,0,1,7.558732943774779e-14
1972.4137931034484,1,0,0,1,9.974746061955719e-14
2306.8965517241377,1,0,0,1,1.2599309854714914e-13
2641.3793103448274,1,0,0,1,1.5415267530813196e-13
2975.862068965517,1,0,0,1,1.8408779407215485e-13
3310.344827586207,1,0,0,1,2.1568358507893153e-13
3644.8275862068967,1,0,0,1,2.488425968143049e-13
3979.310344827586,1,0,0,1,2.8348071000807345e-13
4313.793103448275,1,0,0,1,3.1952428561221843e-13
4648.275862068966,1,0,0,1,3.5690810453581763e-13
4982.758620689655,1,0,0,1,3.955738366232377e-13
5317.241379310345,1,0,0,1,4.354688756010421e-13
5651.724137931034,1,0,0,1,4.765454344238198e-13
5986.206896551724,1,0,0,1,5.187598304816812e-13
6320.689655172414,1,0,0,1,5.620719121935121e-13
6655.172413793103,1,0,0,1,6.064445928476038e-13
6989.6551724137935,1,0,0,1,6.518434671280506e-13
7324.137931034483,1,0,0,1,6.982364923180412e-13
7658.620689655172,1,0,0,1,7.455937207514214e-13
7993.103448275862,1,0,0,1,7.938870733469242e-13
8327.58620689655,1,0,0,1,8.430901464241498e-13
8662.068965517241,1,0,0,1,8.931780457407146e-13
8996.551724137931,1,0,0,1,9.44127242988855e-13
9331.034482758621,1,0,0,1,9.959154509716947e-13
9665.51724137931,1,0,0,1,1.0485215144303357e-12
10000.0,1,0,0,1,1.1019253140735696e-12
300.0,1,0,1,2,1.1706479587962796e-14
634.4827586206897,1,0,1,2,3.658811880502905e-14
968.9655172413793,1,0,1,2,6.933027936530081e-14
1303.4482758620688,1,0,1,2,1.0830347121750236e-13
1637.9310344827586,1,0,1,2,1.5258682050401833e-13
1972.4137931034484,1,0,1,2,2.0156354309719125e-13
2306.8965517241377,1,0,1,2,2.547817252762357e-13
2641.3793103448274,1,0,1,2,3.118910043259979e-13
2975.862068965517,1,0,1,2,3.726089266768352e-13
3310.344827586207,1,0,1,2,4.367011571266263e-13
3644.8275862068967,1,0,1,2,5.039689587266457e-13
3979.310344827586,1,0,1,2,5.742408266134898e-13
4313.793103448275,1,0,1,2,6.473666529132472e-13
4648.275862068966,1,0,1,2,7.232135141470899e-13
4982.758620689655,1,0,1,2,8.0166254236567e-13
5317.241379310345,1,0,1,2,8.826065452061262e-13
5651.724137931034,1,0,1,2,9.659481585509373e-13
5986.206896551724,1,0,1,2,1.051598387341462e-12
6320.689655172414,1,0,1,2,1.139475435329131e-12
6655.172413793103,1,0,1,2,1.2295037539243604e-12
6989.6551724137935,1,0,1,2,1.321613259915544e-12
7324.137931034483,1,0,1,2,1.4157386852436456e-12
7658.620689655172,1,0,1,2,1.5118190313897064e-12
7993.103448275862,1,0,1,2,1.609797107606722e-12
8327.58620689655,1,0,1,2,1.7096191370624904e-12
8662.068965517241,1,0,1,2,1.8112344185174826e-12
8996.551724137931,1,0,1,2,1.9145950338161567e-12
9331.034482758621,1,0,1,2,2.019655593476287e-12
9665.51724137931,1,0,1,2,2.126373014194817e-12
10000.0,1,0,1,2,2.2347063232745257e-12
300.0,0,1,1,0,5.957940681555779e-15
634.4827586206897,0,1,1,0,1.8299575506624026e-14
968.9655172413793,0,1,1,0,3.448826164929699e-14
1303.4482758620688,0,1,1,0,5.373380893808498e-14
1637.9310344827586,0,1,1,0,7.558732943774779e-14
1972.4137931034484,0,1,1,0,9.974746061955719e-14
2306.8965517241377,0,1,1,0,1.2599309854714914e-13
2641.3793103448274,0,1,1,0,1.5415267530813196e-13
2975.862068965517,0,1,1,0,1.8408779407215485e-13
3310.344827586207,0,1,1,0,2.1568358507893153e-13
3644.8275862068967,0,1,1,0,2.488425968143049e-13
3979.310344827586,0,1,1,0,2.8348071000807345e-13
4313.793103448275,0,1,1,0,3.1952428561221843e-13
4648.275862068966,0,1,1,0,3.5690810453581763e-13
4982.758620689655,0,1,1,0,3.955738366232377e-13
